team1,team2,possession team1,possession team2,possession in contest,number of goals team1,number of goals team2,date,hour,category,total attempts team1,total attempts team2,goal inside the penalty area team1,goal inside the penalty area team2,goal outside the penalty area team1,goal outside the penalty area team2,assists team1,assists team2,on target attempts team1,on target attempts team2,off target attempts team1,off target attempts team2,attempts inside the penalty area team1,attempts inside the penalty area  team2,attempts outside the penalty area  team1,attempts outside the penalty area  team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,offsides team1,offsides team2,passes team1,passes team2,passes completed team1,passes completed team2,crosses team1,crosses team2,crosses completed team1,crosses completed team2,switches of play completed team1,switches of play completed team2,corners team1,corners team2,free kicks team1,free kicks team2,penalties scored team1,penalties scored team2,goal preventions team1,goal preventions team2,own goals team1,own goals team2,defensive pressures applied team1,defensive pressures applied team2
SPAIN,COSTA RICA,74%,17%,9%,7,0,23 NOV 2022,17 : 00,Group E,17,0,7,0,0,0,4,0,7,0,8,0,12,0,5,0,0,2,0,0,8,12,3,7,1061,231,1003,170,17,5,2,0,8,1,5,0,18,11,1,0,0,17,0,0,185,585
BELGIUM,CANADA,46%,43%,11%,1,0,23 NOV 2022,20 : 00,Group F,9,21,1,0,0,0,1,0,3,4,6,12,6,16,3,5,3,2,0,0,11,14,0,1,512,448,439,382,8,19,5,6,4,6,4,4,15,10,0,0,21,9,0,0,284,320
SWITZERLAND,CAMEROON,43%,46%,11%,1,0,24 NOV 2022,11 : 00,Group G,8,7,1,0,0,0,1,0,3,3,4,2,6,6,2,1,2,1,0,0,12,10,2,2,497,500,437,424,28,20,6,4,4,8,11,5,11,14,0,0,7,8,0,0,313,316
URUGUAY,KOREA REPUBLIC,49%,38%,13%,0,0,24 NOV 2022,14 : 00,Group H,10,6,0,0,0,0,0,0,0,0,6,5,7,1,3,5,1,1,0,0,7,10,1,0,528,419,459,340,16,19,4,3,10,9,4,3,10,8,0,0,6,10,0,0,240,231
PORTUGAL,GHANA,55%,35%,10%,3,2,24 NOV 2022,17 : 00,Group H,11,8,3,2,0,0,2,2,5,3,3,5,7,2,4,6,2,4,0,0,14,19,1,1,636,394,573,326,17,12,4,3,13,2,3,3,19,15,1,0,8,11,0,0,286,326
BRAZIL,SERBIA,53%,34%,13%,2,0,24 NOV 2022,20 : 00,Group G,24,4,2,0,0,0,1,0,10,0,9,3,11,1,13,3,0,3,0,0,7,12,1,0,585,403,526,341,19,13,3,3,6,6,6,4,12,8,0,0,4,24,0,0,236,338
WALES,IRAN,51%,33%,16%,0,2,25 NOV 2022,11 : 00,Group B,10,21,0,1,0,1,0,1,3,6,4,6,5,7,5,14,1,2,1,0,9,10,2,2,508,295,413,202,20,26,5,4,13,5,2,7,12,11,0,0,21,9,0,0,161,276
QATAR,SENEGAL,42%,48%,10%,1,3,25 NOV 2022,14 : 00,Group A,10,12,1,3,0,0,1,2,2,4,7,6,4,10,6,2,3,3,0,0,7,12,4,3,424,511,353,445,18,20,5,6,12,9,6,7,15,11,0,0,12,11,0,0,308,232
NETHERLANDS,ECUADOR,48%,39%,13%,1,1,25 NOV 2022,17 : 00,Group A,2,13,0,1,1,0,1,0,1,5,1,3,0,8,2,5,0,1,0,0,15,12,1,4,524,425,451,345,8,22,0,4,6,2,2,5,16,16,0,0,14,2,0,0,254,279
ENGLAND,UNITED STATES,51%,40%,9%,0,0,25 NOV 2022,20 : 00,Group B,8,10,0,0,0,0,0,0,3,2,4,7,6,6,2,4,0,0,0,0,9,15,1,0,550,427,488,368,13,16,4,2,9,2,3,7,15,10,0,0,10,8,0,0,266,350
